,rank,mcs.pvalues
EOS-model-73,1,1.0
EOS-model-74,2,0.0
EOS-model-64,3,0.0
EOS-model-80,4,0.0
EOS-model-79,5,0.0
EOS-model-61,6,0.0
EOS-model-58,7,0.0
EOS-model-55,8,0.0
EOS-model-67,9,0.0
EOS-model-65,10,0.0
EOS-model-56,11,0.0
EOS-model-62,12,0.0
EOS-model-59,13,0.0
EOS-model-70,14,0.0
EOS-model-68,15,0.0
EOS-model-71,16,0.0
EOS-model-76,17,0.0
EOS-model-77,18,0.0
EOS-model-16,19,0.0
EOS-model-13,20,0.0
EOS-model-10,21,0.0
EOS-model-17,22,0.0
EOS-model-14,23,0.0
EOS-model-11,24,0.0
EOS-model-25,25,0.0
EOS-model-22,26,0.0
EOS-model-19,27,0.0
EOS-model-26,28,0.0
EOS-model-23,29,0.0
EOS-model-20,30,0.0
EOS-model-69,31,0.0
EOS-model-7,32,0.0
EOS-model-4,33,0.0
EOS-model-49,34,0.0
EOS-model-1,35,0.0
EOS-model-40,36,0.0
EOS-model-46,37,0.0
EOS-model-37,38,0.0
EOS-model-43,39,0.0
EOS-model-8,40,0.0
EOS-model-24,41,0.0
EOS-model-21,42,0.0
EOS-model-5,43,0.0
EOS-model-18,44,0.0
EOS-model-15,45,0.0
EOS-model-12,46,0.0
EOS-model-9,47,0.0
EOS-model-2,48,0.0
EOS-model-41,49,0.0
EOS-model-50,50,0.0
EOS-model-47,51,0.0
EOS-model-44,52,0.0
EOS-model-28,53,0.0
EOS-model-34,54,0.0
EOS-model-31,55,0.0
EOS-model-6,56,0.0
EOS-model-3,57,0.0
EOS-model-0,58,0.0
EOS-model-52,59,0.0
EOS-model-38,60,0.0
EOS-model-29,61,0.0
EOS-model-32,62,0.0
EOS-model-35,63,0.0
EOS-model-53,64,0.0
EOS-model-72,65,0.0
EOS-model-75,66,0.0
EOS-model-30,67,0.0
EOS-model-33,68,0.0
EOS-model-78,69,0.0
EOS-model-27,70,0.0
EOS-model-63,71,0.0
EOS-model-42,72,0.0
EOS-model-39,73,0.0
EOS-model-48,74,0.0
EOS-model-57,75,0.0
EOS-model-54,76,0.0
EOS-model-36,77,0.0
EOS-model-66,78,0.0
EOS-model-60,79,0.0
EOS-model-51,80,0.0
EOS-model-45,81,0.0
