,rank,mcs.pvalues
ETH-model-55,1,1.0
ETH-model-56,2,0.0
ETH-model-58,3,0.0
ETH-model-67,4,0.0
ETH-model-76,5,0.0
ETH-model-68,6,0.0
ETH-model-74,7,0.0
ETH-model-64,8,0.0
ETH-model-59,9,0.0
ETH-model-62,10,0.0
ETH-model-61,11,0.0
ETH-model-73,12,0.0
ETH-model-65,13,0.0
ETH-model-71,14,0.0
ETH-model-77,15,0.0
ETH-model-80,16,0.0
ETH-model-70,17,0.0
ETH-model-8,18,0.0
ETH-model-5,19,0.0
ETH-model-16,20,0.0
ETH-model-26,21,0.0
ETH-model-79,22,0.0
ETH-model-23,23,0.0
ETH-model-13,24,0.0
ETH-model-20,25,0.0
ETH-model-10,26,0.0
ETH-model-17,27,0.0
ETH-model-14,28,0.0
ETH-model-11,29,0.0
ETH-model-2,30,0.0
ETH-model-25,31,0.0
ETH-model-22,32,0.0
ETH-model-19,33,0.0
ETH-model-7,34,0.0
ETH-model-4,35,0.0
ETH-model-1,36,0.0
ETH-model-34,37,0.0
ETH-model-43,38,0.0
ETH-model-6,39,0.0
ETH-model-3,40,0.0
ETH-model-0,41,0.0
ETH-model-37,42,0.0
ETH-model-24,43,0.0
ETH-model-21,44,0.0
ETH-model-18,45,0.0
ETH-model-32,46,0.0
ETH-model-72,47,0.0
ETH-model-60,48,0.0
ETH-model-27,49,0.0
ETH-model-50,50,0.0
ETH-model-31,51,0.0
ETH-model-46,52,0.0
ETH-model-57,53,0.0
ETH-model-48,54,0.0
ETH-model-66,55,0.0
ETH-model-69,56,0.0
ETH-model-63,57,0.0
ETH-model-49,58,0.0
ETH-model-38,59,0.0
ETH-model-36,60,0.0
ETH-model-52,61,0.0
ETH-model-41,62,0.0
ETH-model-15,63,0.0
ETH-model-12,64,0.0
ETH-model-9,65,0.0
ETH-model-53,66,0.0
ETH-model-35,67,0.0
ETH-model-33,68,0.0
ETH-model-44,69,0.0
ETH-model-29,70,0.0
ETH-model-47,71,0.0
ETH-model-78,72,0.0
ETH-model-30,73,0.0
ETH-model-40,74,0.0
ETH-model-45,75,0.0
ETH-model-39,76,0.0
ETH-model-54,77,0.0
ETH-model-75,78,0.0
ETH-model-28,79,0.0
ETH-model-51,80,0.0
ETH-model-42,81,0.0
